Container_Number,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
1,"[50097028, 68793187, 78405802, 86882948]",44746.0,3203.0,56.0,99.43555555555557,88.97222222222221,93.33333333333331,254.0,397.0,4.0
2,"[64566630, 94677527]",43589.0,3572.0,58.0,96.86444444444444,99.22222222222224,96.66666666666669,1411.0,28.0,2.0
3,"[28164157, 19275061, 21757191]",44886.0,3495.0,40.0,99.74666666666666,97.08333333333331,66.66666666666666,114.0,105.0,20.0
4,"[60594081, 61704862, 15517139]",41958.0,3518.0,60.0,93.24,97.72222222222224,100.0,3042.0,82.0,0.0
5,"[44361973, 83821078, 85318673, 16872889]",44543.0,3586.0,32.0,98.98444444444443,99.6111111111111,53.333333333333336,457.0,14.0,28.0
6,"[96256394, 29185766, 87060902]",44639.0,3191.0,42.0,99.19777777777776,88.63888888888889,70.0,361.0,409.0,18.0
7,"[76803925, 45848286, 88018618]",44826.0,3524.0,36.0,99.61333333333332,97.88888888888889,60.0,174.0,76.0,24.0
8,"[83678735, 36587984, 89309989]",44592.0,3474.0,49.0,99.09333333333332,96.5,81.66666666666667,408.0,126.0,11.0
9,"[39825791, 88970241]",44997.0,991.0,52.0,99.99333333333334,27.52777777777778,86.66666666666667,3.0,2609.0,8.0
10,"[24396460, 97560046, 93374760]",44752.0,3571.0,57.0,99.44888888888887,99.19444444444444,95.0,248.0,29.0,3.0
11,"[76002209, 96922646]",44643.0,3597.0,45.0,99.20666666666666,99.91666666666669,75.0,357.0,3.0,15.0
12,"[70944508, 21580901]",44569.0,2815.0,6.0,99.04222222222222,78.19444444444444,10.0,431.0,785.0,54.0
13,"[43343799, 38662632]",44844.0,2155.0,18.0,99.65333333333334,59.86111111111111,30.0,156.0,1445.0,42.0
14,"[52007731, 30868454, 96879739]",44934.0,2847.0,43.0,99.85333333333334,79.08333333333334,71.66666666666667,66.0,753.0,17.0
15,"[11490628, 77096983]",44693.0,2631.0,54.0,99.31777777777778,73.08333333333333,90.0,307.0,969.0,6.0
16,[35768999],43475.0,3564.0,38.0,96.61111111111111,99.0,63.33333333333333,1525.0,36.0,22.0
17,"[60611567, 74949776, 87617056]",44783.0,3292.0,50.0,99.51777777777778,91.44444444444444,83.33333333333334,217.0,308.0,10.0
18,"[77424112, 89603312]",44889.0,1494.0,19.0,99.75333333333334,41.5,31.666666666666664,111.0,2106.0,41.0
19,"[56017398, 92678679, 98741704]",44891.0,3514.0,36.0,99.75777777777778,97.61111111111111,60.0,109.0,86.0,24.0
20,"[28714744, 43600676, 44359987]",42672.0,3455.0,60.0,94.82666666666668,95.97222222222224,100.0,2328.0,145.0,0.0
21,"[53008046, 28935702, 62952966]",44892.0,3451.0,60.0,99.76,95.86111111111111,100.0,108.0,149.0,0.0
22,"[88349496, 54171985]",44957.0,3478.0,50.0,99.90444444444444,96.61111111111111,83.33333333333334,43.0,122.0,10.0
23,"[78304670, 74219723]",44759.0,3443.0,48.0,99.46444444444444,95.63888888888889,80.0,241.0,157.0,12.0
24,"[74775796, 46395501, 45878017]",44969.0,3478.0,30.0,99.93111111111112,96.61111111111111,50.0,31.0,122.0,30.0
25,"[74322802, 28478121]",44970.0,1445.0,36.0,99.93333333333332,40.13888888888889,60.0,30.0,2155.0,24.0
26,"[85536584, 91728749]",44394.0,3598.0,46.0,98.65333333333334,99.94444444444444,76.66666666666667,606.0,2.0,14.0
27,"[95324547, 77330809]",44926.0,3596.0,13.0,99.83555555555556,99.8888888888889,21.666666666666668,74.0,4.0,47.0
28,[23727728],19383.0,3420.0,60.0,43.07333333333334,95.0,100.0,25617.0,180.0,0.0
29,"[53698829, 13330612, 92969829]",44568.0,3531.0,46.0,99.04,98.08333333333331,76.66666666666667,432.0,69.0,14.0
30,"[14710252, 53292435]",35503.0,3511.0,60.0,78.89555555555555,97.5277777777778,100.0,9497.0,89.0,0.0
31,"[15565305, 45391366, 81321032]",44664.0,3155.0,41.0,99.25333333333334,87.63888888888889,68.33333333333333,336.0,445.0,19.0
32,"[57479503, 97067091, 88498575]",44807.0,2959.0,37.0,99.57111111111112,82.19444444444444,61.66666666666667,193.0,641.0,23.0
33,"[22585950, 74878985]",44872.0,2916.0,48.0,99.71555555555555,81.0,80.0,128.0,684.0,12.0
34,"[68646201, 55052191, 94570748]",44750.0,3593.0,42.0,99.44444444444444,99.80555555555556,70.0,250.0,7.0,18.0
35,"[31859676, 31148941, 74012404]",44567.0,2890.0,45.0,99.03777777777778,80.27777777777779,75.0,433.0,710.0,15.0
36,"[82310839, 45398721, 88693256]",43753.0,3588.0,46.0,97.22888888888887,99.66666666666669,76.66666666666667,1247.0,12.0,14.0
37,"[17410508, 22073771, 88604365]",44403.0,2080.0,60.0,98.67333333333332,57.77777777777777,100.0,597.0,1520.0,0.0
38,"[98676826, 89897625, 41670666]",44921.0,3172.0,35.0,99.82444444444444,88.1111111111111,58.333333333333336,79.0,428.0,25.0
39,"[71307112, 77562238, 29525445]",44988.0,3130.0,53.0,99.97333333333331,86.94444444444444,88.33333333333333,12.0,470.0,7.0
40,"[49016561, 41738910]",44943.0,1469.0,55.0,99.87333333333332,40.80555555555556,91.66666666666666,57.0,2131.0,5.0
41,"[45727112, 42231034, 89673485]",44613.0,3592.0,60.0,99.14,99.77777777777776,100.0,387.0,8.0,0.0
42,"[29592981, 75665956]",44653.0,3462.0,41.0,99.22888888888887,96.16666666666669,68.33333333333333,347.0,138.0,19.0
43,"[30407324, 84723237]",44787.0,3529.0,50.0,99.52666666666666,98.0277777777778,83.33333333333334,213.0,71.0,10.0
44,"[25448434, 46847587, 95240409]",44876.0,3313.0,46.0,99.72444444444444,92.02777777777776,76.66666666666667,124.0,287.0,14.0
45,"[93337374, 76910487]",44470.0,3580.0,40.0,98.82222222222222,99.44444444444444,66.66666666666666,530.0,20.0,20.0
46,"[74578173, 73365392, 83793674]",44788.0,3352.0,59.0,99.52888888888889,93.11111111111111,98.33333333333331,212.0,248.0,1.0
47,[29183252],37737.0,1564.0,60.0,83.86,43.44444444444445,100.0,7263.0,2036.0,0.0
48,"[25702298, 30039696, 81139859]",44941.0,3298.0,60.0,99.86888888888888,91.61111111111111,100.0,59.0,302.0,0.0
49,"[38569876, 85731791]",44981.0,3224.0,42.0,99.95777777777778,89.55555555555556,70.0,19.0,376.0,18.0
50,"[65682155, 13078494, 88074177]",44840.0,3241.0,55.0,99.64444444444445,90.02777777777777,91.66666666666666,160.0,359.0,5.0
51,"[89824466, 61798544, 14996486]",44985.0,3208.0,30.0,99.96666666666668,89.11111111111111,50.0,15.0,392.0,30.0
52,[56517394],19652.0,1324.0,60.0,43.67111111111111,36.77777777777778,100.0,25348.0,2276.0,0.0
53,"[82028706, 81816913, 41060556]",44884.0,3571.0,53.0,99.74222222222222,99.19444444444444,88.33333333333333,116.0,29.0,7.0
54,"[56970467, 55453965, 81060601]",43839.0,3562.0,60.0,97.42,98.94444444444444,100.0,1161.0,38.0,0.0
55,"[61520681, 13495136, 75078490]",44938.0,3508.0,30.0,99.8622222222222,97.44444444444444,50.0,62.0,92.0,30.0
56,"[70654882, 67122633, 84665367]",44772.0,3133.0,60.0,99.49333333333334,87.02777777777779,100.0,228.0,467.0,0.0
57,"[10360462, 26100560, 12541366]",44909.0,3478.0,57.0,99.79777777777775,96.61111111111111,95.0,91.0,122.0,3.0
58,"[90967082, 22289559, 82513588]",44636.0,3445.0,60.0,99.19111111111113,95.69444444444444,100.0,364.0,155.0,0.0
59,"[38127748, 42882205]",44845.0,3500.0,37.0,99.65555555555557,97.2222222222222,61.66666666666667,155.0,100.0,23.0
60,"[16089306, 41712370, 94123478]",43648.0,3559.0,60.0,96.99555555555555,98.86111111111111,100.0,1352.0,41.0,0.0
61,"[65660179, 79003940, 82995021, 74386323]",44555.0,3043.0,56.0,99.01111111111112,84.52777777777779,93.33333333333331,445.0,557.0,4.0
62,"[85178771, 45228785, 23700259]",44719.0,3273.0,60.0,99.37555555555556,90.91666666666669,100.0,281.0,327.0,0.0
63,"[39331631, 58557893]",44562.0,3043.0,60.0,99.02666666666666,84.52777777777779,100.0,438.0,557.0,0.0
64,"[24976285, 99918938, 90358335]",43760.0,3562.0,60.0,97.24444444444444,98.94444444444444,100.0,1240.0,38.0,0.0
65,"[55162125, 25172159, 91224413]",44877.0,3426.0,39.0,99.72666666666666,95.16666666666669,65.0,123.0,174.0,21.0
66,"[16055716, 58755241, 90972832]",44493.0,3588.0,27.0,98.87333333333332,99.66666666666669,45.0,507.0,12.0,33.0
67,"[64907228, 47651903, 59811698]",44792.0,3585.0,49.0,99.53777777777778,99.58333333333331,81.66666666666667,208.0,15.0,11.0
68,"[81407369, 87358579]",44577.0,2035.0,43.0,99.06,56.52777777777778,71.66666666666667,423.0,1565.0,17.0
69,"[65689064, 75628458]",44609.0,2839.0,57.0,99.13111111111112,78.86111111111111,95.0,391.0,761.0,3.0
70,"[54166405, 99824259, 52442794]",44946.0,3321.0,47.0,99.88,92.25,78.33333333333333,54.0,279.0,13.0
71,"[86473193, 74657577]",44953.0,1435.0,21.0,99.89555555555556,39.86111111111112,35.0,47.0,2165.0,39.0
72,"[70286807, 56155991, 90942164]",44763.0,3594.0,44.0,99.47333333333331,99.83333333333331,73.33333333333333,237.0,6.0,16.0
73,"[68474125, 83104403]",40133.0,3598.0,60.0,89.18444444444444,99.94444444444444,100.0,4867.0,2.0,0.0
74,"[58966648, 28954585, 90179832]",44814.0,3599.0,42.0,99.58666666666667,99.9722222222222,70.0,186.0,1.0,18.0
75,"[50245609, 74163214]",41588.0,3571.0,54.0,92.41777777777776,99.19444444444444,90.0,3412.0,29.0,6.0
76,"[25034901, 48079506, 64817816]",44797.0,3443.0,18.0,99.54888888888888,95.63888888888889,30.0,203.0,157.0,42.0
77,"[75920615, 49349775, 53376357]",44975.0,3565.0,52.0,99.94444444444444,99.0277777777778,86.66666666666667,25.0,35.0,8.0
78,"[11830395, 90838453]",44659.0,3538.0,28.0,99.24222222222222,98.27777777777776,46.66666666666666,341.0,62.0,32.0
79,"[61095390, 47774250]",44656.0,3305.0,41.0,99.23555555555556,91.80555555555556,68.33333333333333,344.0,295.0,19.0
80,"[85339247, 22559789, 93532156]",44883.0,3083.0,54.0,99.74,85.63888888888889,90.0,117.0,517.0,6.0
81,"[53922630, 30780674, 56463921]",44987.0,3463.0,53.0,99.97111111111111,96.19444444444444,88.33333333333333,13.0,137.0,7.0
82,"[33102147, 77126784, 85065108]",44809.0,3458.0,51.0,99.57555555555555,96.05555555555556,85.0,191.0,142.0,9.0
83,"[59072266, 84814522, 99951826]",44780.0,3487.0,59.0,99.5111111111111,96.86111111111111,98.33333333333331,220.0,113.0,1.0
84,"[35200537, 73506142, 87189846]",44877.0,3384.0,56.0,99.72666666666666,94.0,93.33333333333331,123.0,216.0,4.0
85,"[43118612, 74692773]",44356.0,3036.0,60.0,98.56888888888888,84.33333333333334,100.0,644.0,564.0,0.0
86,"[61196577, 34042247, 20443053]",44618.0,3333.0,37.0,99.1511111111111,92.58333333333331,61.66666666666667,382.0,267.0,23.0
87,"[28907507, 54930836, 34719336]",44986.0,3565.0,25.0,99.96888888888888,99.0277777777778,41.66666666666667,14.0,35.0,35.0
88,"[98684649, 78786702, 44615080]",44710.0,3510.0,54.0,99.35555555555555,97.5,90.0,290.0,90.0,6.0
89,"[95582218, 84918834, 89664243]",42665.0,3597.0,40.0,94.81111111111112,99.91666666666669,66.66666666666666,2335.0,3.0,20.0
90,"[20531646, 88288793, 90625561]",44787.0,3216.0,59.0,99.52666666666666,89.33333333333333,98.33333333333331,213.0,384.0,1.0
91,"[20187442, 72154526, 31316251, 68985650]",44837.0,3407.0,60.0,99.6377777777778,94.63888888888889,100.0,163.0,193.0,0.0
92,"[75227433, 17907665, 83475885]",44886.0,3553.0,57.0,99.74666666666666,98.69444444444444,95.0,114.0,47.0,3.0
93,"[91891647, 99562480, 88588001]",44826.0,3400.0,55.0,99.61333333333332,94.44444444444444,91.66666666666666,174.0,200.0,5.0
94,"[74394137, 83161317]",43728.0,3575.0,20.0,97.17333333333332,99.30555555555556,33.33333333333333,1272.0,25.0,40.0
95,"[13043675, 50099370]",39292.0,3584.0,56.0,87.31555555555556,99.55555555555556,93.33333333333331,5708.0,16.0,4.0
96,"[75284311, 47155263]",44930.0,2895.0,33.0,99.84444444444443,80.41666666666667,55.00000000000001,70.0,705.0,27.0
97,"[84890867, 22230853, 87498016]",44558.0,3537.0,28.0,99.01777777777778,98.25,46.66666666666666,442.0,63.0,32.0
98,"[51693795, 57967402, 58793079]",44966.0,3591.0,55.0,99.92444444444445,99.75,91.66666666666666,34.0,9.0,5.0
99,"[74543781, 83629497, 24915064]",44924.0,3379.0,31.0,99.83111111111111,93.8611111111111,51.66666666666667,76.0,221.0,29.0
100,"[73085672, 84333085]",44860.0,2488.0,50.0,99.6888888888889,69.11111111111111,83.33333333333334,140.0,1112.0,10.0
101,"[37174499, 33647569, 73168405]",44612.0,3157.0,58.0,99.1377777777778,87.69444444444444,96.66666666666669,388.0,443.0,2.0
102,"[35744676, 61985375, 82441193, 73418953]",44477.0,3419.0,60.0,98.83777777777776,94.97222222222224,100.0,523.0,181.0,0.0
103,"[95355299, 73428853, 93619372]",44467.0,3406.0,60.0,98.81555555555556,94.61111111111111,100.0,533.0,194.0,0.0
104,"[13813473, 73831628]",44987.0,3541.0,39.0,99.97111111111111,98.36111111111111,65.0,13.0,59.0,21.0
105,"[54438148, 93223646, 74274006]",44773.0,3030.0,57.0,99.49555555555555,84.16666666666667,95.0,227.0,570.0,3.0
106,"[74318249, 75651524]",44257.0,3589.0,50.0,98.34888888888888,99.69444444444444,83.33333333333334,743.0,11.0,10.0
107,"[52893203, 54230925, 75012827]",43989.0,3593.0,51.0,97.75333333333332,99.80555555555556,85.0,1011.0,7.0,9.0
108,"[50218071, 75802557, 83864489]",44793.0,3480.0,31.0,99.54,96.66666666666669,51.66666666666667,207.0,120.0,29.0
109,"[30246758, 76400344]",44882.0,1746.0,46.0,99.73777777777778,48.5,76.66666666666667,118.0,1854.0,14.0
110,"[64799030, 76839857]",44909.0,3420.0,11.0,99.79777777777775,95.0,18.33333333333333,91.0,180.0,49.0
111,"[37267436, 83188962]",44613.0,2625.0,46.0,99.14,72.91666666666666,76.66666666666667,387.0,975.0,14.0
112,"[74790348, 83294300]",43350.0,3565.0,56.0,96.33333333333334,99.0277777777778,93.33333333333331,1650.0,35.0,4.0
113,"[43682968, 83958965, 88185945]",44682.0,3058.0,45.0,99.29333333333334,84.94444444444444,75.0,318.0,542.0,15.0
114,"[85296118, 87927610]",44990.0,2707.0,49.0,99.97777777777776,75.19444444444444,81.66666666666667,10.0,893.0,11.0
115,"[40420974, 98128588, 85896971]",44962.0,3503.0,28.0,99.91555555555556,97.30555555555556,46.66666666666666,38.0,97.0,32.0
116,"[58810469, 87981724]",44982.0,3080.0,60.0,99.96,85.55555555555556,100.0,18.0,520.0,0.0
117,"[84937771, 88195561]",44710.0,921.0,41.0,99.35555555555555,25.583333333333336,68.33333333333333,290.0,2679.0,19.0
118,"[11457722, 65534534, 88666830]",44643.0,3537.0,55.0,99.20666666666666,98.25,91.66666666666666,357.0,63.0,5.0
119,"[64578195, 30654749, 88708842]",44518.0,3600.0,24.0,98.92888888888888,100.0,40.0,482.0,0.0,36.0
120,"[58488661, 88709344]",44976.0,3588.0,40.0,99.94666666666666,99.66666666666669,66.66666666666666,24.0,12.0,20.0
121,"[71669758, 88821066]",44897.0,3558.0,43.0,99.77111111111113,98.83333333333331,71.66666666666667,103.0,42.0,17.0
122,"[18052111, 88960928]",44852.0,1225.0,15.0,99.67111111111112,34.02777777777778,25.0,148.0,2375.0,45.0
123,"[47936445, 89089951]",44916.0,2925.0,59.0,99.81333333333332,81.25,98.33333333333331,84.0,675.0,1.0
124,"[94056916, 89772017, 92931090]",44924.0,3427.0,56.0,99.83111111111111,95.19444444444444,93.33333333333331,76.0,173.0,4.0
125,"[21039456, 76429146, 90139478]",44666.0,3489.0,53.0,99.25777777777778,96.91666666666666,88.33333333333333,334.0,111.0,7.0
126,"[32522171, 90459684]",44941.0,3486.0,57.0,99.86888888888888,96.83333333333334,95.0,59.0,114.0,3.0
127,"[83548990, 87980578, 90629724]",44888.0,3557.0,57.0,99.75111111111111,98.80555555555556,95.0,112.0,43.0,3.0
128,"[17774452, 90961227, 91414212]",43699.0,3573.0,41.0,97.10888888888888,99.25,68.33333333333333,1301.0,27.0,19.0
129,"[65041891, 76474021, 91690275]",44920.0,3581.0,46.0,99.82222222222222,99.4722222222222,76.66666666666667,80.0,19.0,14.0
130,"[30982070, 91708989]",44867.0,2484.0,30.0,99.70444444444443,69.0,50.0,133.0,1116.0,30.0
131,"[26261641, 92664960]",44940.0,2492.0,36.0,99.86666666666667,69.22222222222221,60.0,60.0,1108.0,24.0
132,"[47231795, 87449606, 92896992]",44971.0,3413.0,57.0,99.93555555555557,94.80555555555556,95.0,29.0,187.0,3.0
133,"[61665344, 93686301]",44149.0,2815.0,60.0,98.10888888888888,78.19444444444444,100.0,851.0,785.0,0.0
